;Activity;Latitude;Longitude
270;active, confirmed;-21.9876;-176.5678
271;active, confirmed;-22.1667;-176.604
272;active, confirmed;-22.18;-176.6017
273;active, confirmed;-22.2151;-176.6083
274;active, confirmed;-22.29;-176.629
275;active, inferred;-22.34;-176.659
276;active, inferred;-22.4;-176.679
277;active, confirmed;-22.47;-176.703
278;active, inferred;-22.515;-176.65
279;active, confirmed;-22.53;-176.697
280;active, inferred;-22.64;-176.721
281;active, inferred;-22.8833;-176.75
282;active, inferred;81.361;-3.44
283;active, confirmed;16.71;-62.23
284;active, inferred;16.46;-61.982
285;active, confirmed;15.25;-61.383
286;active, confirmed;12.2833;-61.6667
287;active, inferred;20;122
288;active, inferred;11.5;124.7
289;inactive;-3;147
290;active, confirmed;-3.038;147.528
291;active, inferred;-3.076;147.239
292;active, confirmed;-3.1667;147.1917
293;active, confirmed;-3.1667;150.2833
294;active, confirmed;-3.3712;150.036
295;inactive;-3.4199;150.1681
296;active, inferred;-3.438;149.967
297;active, inferred;-3.666;148.764
298;active, confirmed;-3.6754;151.7272
299;active, confirmed;-3.6958;151.8717
300;inactive;-3.7086;151.8834
301;active, confirmed;-3.725;151.67
302;active, confirmed;-3.732;151.7465
303;active, confirmed;-3.8;152.1
304;active, confirmed;23.497;141.94
305;active, confirmed;23.0833;142.3333
306;active, inferred;22.508;142.533
307;active, inferred;22.387;142.762
308;active, inferred;21.93;143.47
309;inactive;21.765;143.71
310;active, confirmed;21.6;143.6167
311;active, confirmed;21.485;144.043
312;active, confirmed;21.3833;143.6
313;active, confirmed;21.324;144.194
314;active, confirmed;20.81;144.705
315;active, inferred;20.53;144.8833
316;active, inferred;20.42;145.03
317;active, confirmed;20.02;145.22
318;active, inferred;16.88;145.85
319;active, inferred;16.58;145.78
320;active, inferred;16.375;145.725
321;active, confirmed;15.93;145.67
322;active, confirmed;15.62;145.57
323;active, confirmed;14.9667;145.25
324;active, confirmed;14.601;144.775
325;active, confirmed;14.325;144.833
326;active, confirmed;13.4;143.9166
327;active, confirmed;13.25;144.02
328;active, confirmed;12.7167;143.5333
329;active, confirmed;18.2103;144.7073
330;active, inferred;18.108;144.738
331;active, confirmed;18.0467;144.7533
332;active, confirmed;18.0333;144.2833
333;active, confirmed;16.957;144.868
334;active, inferred;16.401;144.87
335;active, confirmed;15.4802;144.5077
336;active, confirmed;15.408;144.509
337;active, inferred;14.487;144.094
338;active, confirmed;13.0987;143.6886
339;active, confirmed;12.9533;143.62
340;active, confirmed;12.9183;143.6483
341;active, inferred;12.761;143.473
342;active, confirmed;18.5466;-81.7182
343;active, confirmed;18.3777;-81.7972
344;active, inferred;18.35;-81.85
345;active, inferred;17.8333;-81.8333
346;active, confirmed;73.55;8.15
347;active, inferred;72.806;4.165
348;active, confirmed;72.344;1.555
349;active, inferred;72.039;-252
350;active, confirmed;71.2833;-5.7667
351;active, confirmed;71.2593;-5.8146
352;active, inferred;22.9333;-108.0667
353;active, confirmed;20.8333;-109.0833
354;inactive;20.8033;-109.2833
355;active, confirmed;20.8033;-109.3783
356;active, inferred;18.25;-106.3
357;active, inferred;17.67;-105.005
358;active, inferred;17;-105.38
359;active, inferred;16.58;-105.3
360;active, confirmed;15.7333;-105.4333
361;active, inferred;15.5;-105.4
362;inactive;14.15;-104.3667
363;active, inferred;13;-103.5
364;active, confirmed;12.8333;-103.95
365;active, confirmed;12.709;-103.916
366;inactive;12.7;-103.86
367;active, inferred;11.7775;-103.83
368;active, confirmed;11.7;-103.85
369;inactive;11.5333;-103.86
370;active, inferred;11.4833;-103.7833
371;active, confirmed;11.4;-103.78
372;active, confirmed;11.2833;-103.7583
373;active, inferred;11.133;-103.78
374;active, confirmed;10.9267;-103.6767
375;active, confirmed;10.7433;-103.65
376;active, inferred;10.3333;-103.5533
377;active, inferred;10.13;-104.33
378;active, confirmed;10.033;-104.33
379;active, confirmed;9.83;-104.29
380;active, confirmed;9.775;-104.2802
381;active, confirmed;9.65;-104.26
382;active, confirmed;9.5583;-104.25
383;active, confirmed;9.5167;-104.2414
384;active, confirmed;9.45;-104.5383
385;active, confirmed;9.28;-104.2166
386;active, confirmed;9.1404;-104.2065
387;active, inferred;8.9;-104.2
388;active, confirmed;8.6333;-104.2
389;active, confirmed;3.917;-102.233
390;active, confirmed;1.7333;-102.283
391;active, confirmed;45.4833;-27.85
392;active, inferred;43;-29
393;active, inferred;40.467;-29.55
394;active, confirmed;38.9833;-29.8833
395;active, confirmed;37.8417;-31.525
396;active, confirmed;37.8;-31.5333
397;active, confirmed;37.2933;-32.2733
398;active, confirmed;37.2667;-32.2833
