FID,Status,Title,Ident Code,Criteria Categories,Criteria,Qualifying Species,#Qualifying Species,Supporting Species,#Supporting Species,Region,Region Code,Location,Location Code,Area Square Kilometers,Month Submitted,Year Submitted,Month Classified,Year Classified,Month Modified,Year Modified,Details
152,IMMA,Maldives Archipelago and Adjacent Oceanic Waters IMMA,16WIOCAS191919IMMA,"Criterion A - Species or Population Vulnerability, Criterion C - Key Life Cycle Activities, Criterion D - Special Attributes","A, C1, C2, D2","Balaenoptera musculus, Megaptera novaeangliae, Physeter macrocephalus, Stenella longirostris, Stenella attenuata",5,"Balaenoptera edeni, Kogia sima, Orcinus orca, Pseudorca crassidens, Globicephala macrorhynchus, Feresa attenuata, Peponocephala electra, Stenella coeruleoalba, Tursiops aduncus, Tursiops truncatus, Grampus griseus, Steno bredanensis, Lagenodelphis hosei, Ziphius cavirostris, Mesoplodon hotaula, Mesoplodon densirostris, Indopacetus pacificus",17,Western Indian Ocean and Arabian Seas,WIOCAS,"India, Maldives","IND, MDV",166500,4,2019,12,2019,12,2019,https://www.marinemammalhabitat.org/portfolio-item/maldives-archipelago-adjacent-oceanic-waters/
153,IMMA,Mascarene Islands and Associated Oceanic Features IMMA,17WIOCAS191919IMMA,"Criterion A - Species or Population Vulnerability, Criterion B - Distribution and Abundance, Criterion C - Key Life Cycle Activities, Criterion D - Special Attributes","A, B1, B2, C1, C3, D2","Physeter macrocephalus, Tursiops aduncus, Tursiops truncatus, Stenella longirostris, Megaptera novaeangliae",5,"Balaenoptera bonaerensis, Balaenoptera physalus, Eubalaena australis, Feresa attenuata, Globicephala macrorhynchus, Grampus griseus, Indopacetus pacificus, Kogia sima, Lagenodelphis hosei, Mesoplodon densirostris, Orcinus orca, Peponocephala electra, Pseudorca crassidens, Stenella attenuata, Stenella coeruleoalba, Steno bredanensis, Ziphius cavirostris",17,Western Indian Ocean and Arabian Seas,WIOCAS,"Mauritius, Reunion","MUS, REU",256900,4,2019,12,2019,12,2019,https://www.marinemammalhabitat.org/portfolio-item/mascarene-islands-associated-oceanic-features
154,IMMA,Menai Bay IMMA,18WIOCAS191919IMMA,"Criterion A - Species or Population Vulnerability, Criterion B - Distribution and Abundance, Criterion C - Key Life Cycle Activities","A, B1, C2","Tursiops aduncus, Sousa plumbea",2,"Megaptera novaeangliae, Tursiops truncatus",2,Western Indian Ocean and Arabian Seas,WIOCAS,Tanzania,TZA,666,4,2019,12,2019,12,2019,https://www.marinemammalhabitat.org/portfolio-item/menai-bay/
155,IMMA,Miani Hor IMMA,19WIOCAS191919IMMA,"Criterion A - Species or Population Vulnerability, Criterion B - Distribution and Abundance","A, B1","Sousa plumbea, Neophocaena phocaenoides",2,Tursiops aduncus,1,Western Indian Ocean and Arabian Seas,WIOCAS,Pakistan,PAK,471,4,2019,12,2019,12,2019,https://www.marinemammalhabitat.org/portfolio-item/miani-hor/
156,IMMA,Mozambique Coastal Breeding Grounds IMMA,20WIOCAS191919IMMA,Criterion C - Key Life Cycle Activities,C1,Megaptera novaeangliae,1,"Delphinus delphis, Eubalaena australis, Orcinus orca, Sousa plumbea, Stenella longirostris, Tursiops aduncus",6,Western Indian Ocean and Arabian Seas,WIOCAS,"Mozambique, South Africa","MOZ, ZAF",89420,4,2019,12,2019,12,2019,https://www.marinemammalhabitat.org/portfolio-item/mozambique-coastal-breeding-grounds/
157,IMMA,Muscat Coastal Waters and Offshore Canyons IMMA,21WIOCAS191919IMMA,"Criterion C - Key Life Cycle Activities, Criterion D - Special Attributes","C1, C2, D2","Stenella longirostris, Delphinus delphis, Tursiops truncatus, Balaenoptera edeni, Grampus griseus, Physeter macrocephalus, Pseudorca crassidens",7,"Balaenoptera musculus indica, Feresa attenuata, Kogia sima, Megaptera novaeangliae, Orcinus orca, Stenella attenuata, Stenella coeruleoalba",7,Western Indian Ocean and Arabian Seas,WIOCAS,Oman,OMN,5380,4,2019,12,2019,12,2019,https://www.marinemammalhabitat.org/portfolio-item/muscat-coastal-waters-offshore-canyons/
158,IMMA,Nakhiloo Coastal Waters IMMA,22WIOCAS191919IMMA,"Criterion A - Species or Population Vulnerability, Criterion B - Distribution and Abundance, Criterion C - Key Life Cycle Activities","A, B1, C1","Sousa plumbea, Neophocaena phocaenoides",2,"Balaenoptera edeni, Stenella longirostris, Delphinus delphis tropicalis",3,Western Indian Ocean and Arabian Seas,WIOCAS,Iran,IRN,486,4,2019,12,2019,12,2019,https://www.marinemammalhabitat.org/portfolio-item/nakhiloo-coastal-waters/
159,IMMA,North East Arabian Sea IMMA,23WIOCAS191919IMMA,"Criterion A - Species or Population Vulnerability, Criterion B - Distribution and Abundance, Criterion C - Key Life Cycle Activities, Criterion D - Special Attributes","A, B2, C2, D2","Megaptera novaeangliae, Balaenoptera musculus, Kogia sima, Kogia breviceps, Tursiops aduncus, Stenella longirostris",6,"Sousa plumbea, Balaenoptera edeni, Stenella attenuata, Steno bredanensis, Stenella coeruleoalba, Orcinus orca, Indopacetus pacificus, Ziphius cavirostris, Grampus griseus",9,Western Indian Ocean and Arabian Seas,WIOCAS,"India, Pakistan","IND, PAK",147200,4,2019,12,2019,12,2019,https://www.marinemammalhabitat.org/portfolio-item/north-east-arabian-sea/
160,IMMA,"Northern Gulf and Confluence of Tigris, Euphrates and Kuran IMMA",24WIOCAS191919IMMA,"Criterion A - Species or Population Vulnerability, Criterion B - Distribution and Abundance","A, B1",Sousa plumbea,1,"Neophocaena phocaenoides, Tursiops aduncus",2,Western Indian Ocean and Arabian Seas,WIOCAS,"Iran, Iraq, Kuwait","IRN, IRQ, KWT",5279,4,2019,12,2019,12,2019,https://www.marinemammalhabitat.org/portfolio-item/northern-gulf-confluence-tigris-euphrates-kuran/
161,IMMA,Northern Red Sea Islands IMMA,25WIOCAS191919IMMA,"Criterion A - Species or Population Vulnerability, Criterion B - Distribution and Abundance, Criterion C - Key Life Cycle Activities, Criterion D - Special Attributes","A, B1, C3, D1","Tursiops aduncus, Sousa plumbea",2,"Dugong dugon, Grampus griseus, Megaptera novaeangliae, Pseudorca crassidens, Stenella attenuata, Stenella longirostris, Tursiops truncatus",7,Western Indian Ocean and Arabian Seas,WIOCAS,Egypt,EGY,2559,4,2019,12,2019,12,2019,https://www.marinemammalhabitat.org/portfolio-item/northern-red-sea-islands/
162,IMMA,Northwest Madagascar and Northeast Mozambique Channel IMMA,26WIOCAS191919IMMA,"Criterion A - Species or Population Vulnerability, Criterion B - Distribution and Abundance, Criterion C - Key Life Cycle Activities, Criterion D - Special Attributes","A, B1, B2, C1, C3, D2","Balaenoptera omurai, Balaenoptera musculus, Balaenoptera physalus, Megaptera novaeangliae, Sousa plumbea, Peponocephala electra, Dugong dugon, Physeter macrocephalus",8,"Balaenoptera acutorostrata, Balaenoptera bonaerensis, Globicephala macrorhynchus, Grampus griseus, Indopacetus pacificus, Kogia sima, Lagenodelphis hosei, Pseudorca crassidens, Sousa plumbea, Stenella attenuata, Stenella longirostris, Tursiops aduncus, Tursiops truncatus, Ziphius cavirostris",14,Western Indian Ocean and Arabian Seas,WIOCAS,"Comores, Madagascar, Mayotte","COM, MDG, MYT",127500,4,2019,12,2019,12,2019,https://www.marinemammalhabitat.org/portfolio-item/northwest-madagascar-northeast-mozambique-channel/
163,IMMA,Oman Arabian Sea IMMA,27WIOCAS191919IMMA,"Criterion A - Species or Population Vulnerability, Criterion B - Distribution and Abundance, Criterion C - Key Life Cycle Activities","A, B2, C3",Megaptera novaeangliae,1,"Balaenoptera acutorostrata, Balaenoptera edeni, Balaenoptera musculus indica, Delphinus delphis tropicalis, Globicephala macrorhynchus, Grampus griseus, Kogia breviceps, Kogia sima, Orcinus orca, Peponocephala electra, Physeter macrocephalus, Pseudorca crassidens, Sousa plumbea, Stenella longirostris, Steno bredanensis, Tursiops aduncus, Tursiops truncatus, Ziphius cavirostris",18,Western Indian Ocean and Arabian Seas,WIOCAS,"Oman, Yemen","OMN, YEM",105000,4,2019,12,2019,12,2019,https://www.marinemammalhabitat.org/portfolio-item/oman-arabian-sea/
164,IMMA,Seychelles Plateau and Adjacent Oceanic Waters IMMA,28WIOCAS191919IMMA,"Criterion A - Species or Population Vulnerability, Criterion B - Distribution and Abundance, Criterion D - Special Attributes","A, B2, D2","Stenella longirostris, Physeter macrocephalus, Balaenoptera musculus, Tursiops truncatus, Tursiops aduncus",5,"Globicephala macrorhynchus, Grampus griseus, Kogia breviceps, Kogia sima, Megaptera novaeangliae, Mesoplodon densirostris, Orcinus orca, Peponocephala electra, Pseudorca crassidens, Stenella attenuata, Stenella coeruleoalba, Ziphius cavirostris",12,Western Indian Ocean and Arabian Seas,WIOCAS,Seychelles,SYC,162500,4,2019,12,2019,12,2019,https://www.marinemammalhabitat.org/portfolio-item/seychelles-plateau-adjacent-oceanic-waters/
165,IMMA,Shelf Waters of Southern Madagascar IMMA,29WIOCAS191919IMMA,"Criterion B - Distribution and Abundance, Criterion C - Key Life Cycle Activities","B2, C1, C2",Megaptera novaeangliae,1,NULL,NULL,Western Indian Ocean and Arabian Seas,WIOCAS,Madagascar,MDG,21780,4,2019,12,2019,12,2019,https://www.marinemammalhabitat.org/portfolio-item/shelf-waters-southern-madagascar/
166,IMMA,Sindhudurg-Karwar IMMA,30WIOCAS191919IMMA,"Criterion A - Species or Population Vulnerability, Criterion B - Distribution and Abundance, Criterion D - Special Attributes","A, B1, D2","Sousa plumbea, Neophocaena phocaenoides",2,"Balaenoptera musculus, Balaenoptera edeni, Delphinus delphis, Kogia sima, Pseudorca crassidens, Megaptera novaeangliae, Tursiops aduncus, Orcinus orca, Stenella attenuata, Stenella coeruleoalba",10,Western Indian Ocean and Arabian Seas,WIOCAS,India,IND,4613,4,2019,12,2019,12,2019,https://www.marinemammalhabitat.org/portfolio-item/sindhudurg-karwar/
167,IMMA,South East African Coastal Migration Corridor IMMA,31WIOCAS191919IMMA,Criterion C - Key Life Cycle Activities,C3,Megaptera novaeangliae,1,"Eubalaena australis, Stenella longirostris, Orcinus orca, Tursiops aduncus, Sousa plumbea, Delphinus delphis",6,Western Indian Ocean and Arabian Seas,WIOCAS,South Africa,ZAF,47060,4,2019,12,2019,12,2019,https://www.marinemammalhabitat.org/portfolio-item/south-east-african-coastal-migration-corridor/
168,IMMA,South West Madagascar and Mozambique Channel IMMA,32WIOCAS191919IMMA,"Criterion A - Species or Population Vulnerability, Criterion C - Key Life Cycle Activities, Criterion D - Special Attributes","A, C3, D2","Balaenoptera musculus, Balaenoptera bonaerensis, Balaenoptera physalus, Physeter macrocephalus, Sousa plumbea",5,"Globicephala macrorhynchus, Grampus griseus, Kogia breviceps, Kogia sima, Megaptera novaeangliae, Mesoplodon densirostris, Peponocephala electra, Pseudorca crassidens, Stenella attenuata, Stenella longirostris, Tursiops aduncus, Tursiops truncatus, Ziphius cavirostris",13,Western Indian Ocean and Arabian Seas,WIOCAS,"Bassas da India, Ile Europa, Madagascar","ATF, ATF, MDG",157800,4,2019,12,2019,12,2019,https://www.marinemammalhabitat.org/portfolio-item/south-west-madagascar-mozambique-channel/
169,IMMA,Southern Coastal and Shelf Waters of South Africa IMMA,33WIOCAS191919IMMA,"Criterion A - Species or Population Vulnerability, Criterion B - Distribution and Abundance, Criterion C - Key Life Cycle Activities","A, B1, C2","Sousa plumbea, Balaenoptera edeni, Tursiops aduncus, Delphinus delphis, Arctocephalus pusillus",5,"Megaptera novaeangliae, Eubalaena australis, Orcinus orca",3,Western Indian Ocean and Arabian Seas,WIOCAS,South Africa,ZAF,166700,4,2019,12,2019,12,2019,https://www.marinemammalhabitat.org/portfolio-item/southern-coastal-shelf-waters-south-africa/
170,IMMA,"Southern Egyptian Red Sea Bays, Offshore Reefs and Islands IMMA",34WIOCAS191919IMMA,"Criterion A - Species or Population Vulnerability, Criterion B - Distribution and Abundance, Criterion C - Key Life Cycle Activities","A, B1, B2, C1","Dugong dugon, Sousa plumbea, Grampus griseus, Stenella longirostris, Tursiops aduncus, Tursiops truncatus",6,"Balaenoptera edeni, Pseudorca crassidens",2,Western Indian Ocean and Arabian Seas,WIOCAS,Egypt,"EGY, SDN",22190,4,2019,12,2019,12,2019,https://www.marinemammalhabitat.org/portfolio-item/southern-egyptian-red-sea-bays-offshore-reefs-islands/
171,IMMA,Southern Gulf and Coastal Waters IMMA,35WIOCAS191919IMMA,"Criterion A - Species or Population Vulnerability, Criterion B - Distribution and Abundance, Criterion C - Key Life Cycle Activities","A, B2, C1, C2","Sousa plumbea, Neophocaena phocaenoides, Dugong dugon, Tursiops aduncus",4,"Megaptera novaeangliae, Balaenoptera edeni, Kogia sima, Orcinus orca",4,Western Indian Ocean and Arabian Seas,WIOCAS,"Qatar, Saudi Arabia, United Arab Emirates","QAT, SAU, ARE",30240,4,2019,12,2019,12,2019,https://www.marinemammalhabitat.org/portfolio-item/southern-gulf-coastal-waters/
172,IMMA,"Toliara, St. Augustine Canyon and Anakao IMMA",36WIOCAS191919IMMA,"Criterion A - Species or Population Vulnerability, Criterion B - Distribution and Abundance, Criterion C - Key Life Cycle Activities, Criterion D - Special Attributes","A, B1, B2, C1, D2","Megaptera novaeangliae, Sousa plumbea, Stenella longirostris, Grampus griseus, Globicephala macrorhynchus",5,"Balaenoptera bonaerensis, Balaenoptera musculus brevicauda, Balaenoptera musculus intermedia, Balaenoptera physalus, Eubalaena australis, Kogia sima, Lagenodelphis hosei, Peponocephala electra, Physeter macrocephalus, Pseudorca crassidens, Stenella attenuata, Steno bredanensis, Tursiops aduncus, Tursiops truncatus",14,Western Indian Ocean and Arabian Seas,WIOCAS,Madagascar,MDG,6963,4,2019,12,2019,12,2019,https://www.marinemammalhabitat.org/portfolio-item/toliara-st-augustine-canyon-anakao/
173,IMMA,Watamu-Malindi and Watamu Banks IMMA,37WIOCAS191919IMMA,"Criterion B - Distribution and Abundance, Criterion C - Key Life Cycle Activities","B1, C3","Tursiops aduncus, Megaptera novaeangliae",2,"Sousa plumbea, Stenella longirostris, Globicephala macrorhynchus, Balaenoptera edeni, Orcinus orca, Physeter macrocephalus, Pseudorca crassidens",7,Western Indian Ocean and Arabian Seas,WIOCAS,Kenya,KEN,972,4,2019,12,2019,12,2019,https://www.marinemammalhabitat.org/portfolio-item/watamu-malindi-watamu-banks/
